id,label
1,Dark Humor
2,Wholesome
3,Dad Jokes
4,Puns & Wordplay
5,One-liners
6,Observational
7,Sarcasm/Irony
8,Absurd/Surreal
9,Self-deprecating
10,Meta-humor (jokes about jokes)
11,Geopolitical
12,Political (Local/National)
13,Technology
14,Work/Office
15,School/Student
16,Relationships
17,Family
18,Pop Culture
19,Celebrities
20,Movies/TV
21,History
22,Science/Nerdy
23,Programming/Techie
24,Animals/Pets
25,Clean
26,Mildly Offensive
27,NSFW
28,Controversial
29,Satirical
30,Dark Satire
31,Anti-jokes
32,Sh*tposts
33,Dank Memes
34,Wholesome Memes
35,Zoomer Humor
36,Question-Answer
37,Setup-Punchline
38,Story Format
39,Rant-style
40,Parody
